Date,Open,High,Low,Close,Adj Close,Volume
2015-02-01,40.590000,44.299999,40.230000,43.849998,39.366711,656509700
2015-03-01,43.669998,44.189999,40.540001,40.660000,36.762642,824335300
2015-04-01,40.599998,49.540001,40.119999,48.639999,43.977737,874535300
2015-05-01,48.580002,48.910000,46.020000,46.860001,42.368355,633072800
2015-06-01,47.060001,47.770000,43.939999,44.150002,40.177536,664853400
2015-07-01,44.459999,47.400002,43.320000,46.700001,42.498096,725458100
2015-08-01,46.980000,48.410000,39.720001,43.520000,39.604225,776480300
2015-09-01,42.169998,45.000000,41.660000,44.259998,40.543247,673079900
2015-10-01,44.750000,54.369999,43.750000,52.639999,48.219536,856716800
2015-11-01,52.849998,54.980000,52.529999,54.349998,49.785923,662626600
2015-12-01,54.410000,56.849998,53.680000,55.480000,51.163593,792820900
2016-01-01,54.320000,55.389999,49.099998,55.090000,50.803936,927914700
2016-02-01,54.880001,55.090000,48.189999,50.880001,46.921478,814770900
2016-03-01,50.970001,55.639999,50.580002,55.230000,51.298740,641110900
2016-04-01,55.049999,56.770000,49.349998,49.869999,46.320259,699025700
2016-05-01,50.000000,53.000000,49.459999,53.000000,49.227463,530704800
2016-06-01,52.439999,52.950001,48.040001,51.169998,47.860149,823627000
2016-07-01,51.130001,57.290001,50.389999,56.680000,53.013744,647587800
2016-08-01,56.599998,58.700001,56.139999,57.459999,53.743298,467078900
2016-09-01,57.009998,58.189999,55.610001,57.599998,54.210018,526427800
2016-10-01,57.410000,61.369999,56.320000,59.919998,56.393475,614841800
2016-11-01,59.970001,61.410000,57.279999,60.259998,56.713467,613056800
2016-12-01,60.110001,64.099998,58.799999,62.139999,58.877903,513579700
2017-01-01,62.790001,65.910004,61.950001,64.650002,61.256142,493453500
2017-02-01,64.360001,65.239998,62.750000,63.980000,60.621319,440744000
2017-03-01,64.129997,66.190002,63.619999,65.860001,62.780933,489169700
2017-04-01,65.809998,69.139999,64.849998,68.459999,65.259361,433191200
2017-05-01,68.680000,70.739998,67.139999,69.839996,66.574867,517218500
2017-06-01,70.239998,72.889999,68.089996,68.930000,66.084045,629716800
2017-07-01,69.330002,74.419998,68.019997,72.699997,69.698387,469851200
2017-08-01,73.099998,74.959999,71.279999,74.769997,71.682907,444070500
2017-09-01,74.709999,75.970001,72.919998,74.489998,71.794968,375983900
2017-10-01,74.709999,86.199997,73.709999,83.180000,80.170578,449950000
2017-11-01,83.680000,85.059998,82.239998,84.169998,81.124741,421926000
2017-12-01,83.599998,87.500000,80.699997,85.540001,82.859230,466203300
2018-01-01,86.129997,95.449997,85.500000,95.010002,92.032455,574258400
2018-02-01,94.790001,96.070000,83.830002,93.769997,90.831299,725663300
2018-03-01,93.989998,97.239998,87.080002,91.269997,88.824951,750754800
2018-04-01,90.470001,97.900002,87.510002,93.519997,91.014671,668130700
2018-05-01,93.209999,99.989998,92.449997,98.839996,96.192154,509417900
2018-06-01,99.279999,102.690002,97.260002,98.610001,96.384285,602585200
2018-07-01,98.099998,111.150002,98.000000,106.080002,103.685684,569352300
2018-08-01,106.029999,112.779999,104.839996,112.330002,109.794617,456628100
2018-09-01,110.849998,115.290001,107.230003,114.370003,112.218773,480255500
2018-10-01,114.750000,116.180000,100.110001,106.809998,104.800964,927548000
2018-11-01,107.050003,112.239998,99.349998,110.889999,108.804222,720228600
2018-12-01,113.000000,113.419998,93.959999,101.570000,100.090057,944314600
2019-01-01,99.550003,107.900002,97.199997,104.430000,102.908394,714212800
2019-02-01,103.779999,113.239998,102.349998,112.029999,110.397652,469095900
2019-03-01,112.889999,120.820000,108.800003,117.940002,116.717896,589095800
2019-04-01,118.949997,131.369995,118.099998,130.600006,129.246719,433157700
2019-05-01,130.529999,130.649994,123.040001,123.680000,122.398415,547218800
2019-06-01,123.849998,138.399994,119.010002,133.960007,133.062622,508316500
2019-07-01,136.630005,141.679993,134.669998,136.270004,135.357162,484515700
2019-08-01,137.000000,140.940002,130.779999,137.860001,136.936493,584474300
2019-09-01,136.610001,142.369995,134.509995,139.029999,138.558517,472544800
2019-10-01,139.660004,145.669998,133.220001,143.369995,142.883804,549523400
2019-11-01,144.259995,152.500000,142.970001,151.380005,150.866638,392371800
2019-12-01,151.809998,159.550003,146.649994,157.699997,157.699997,450303300
2020-01-01,158.779999,166.240005,156.509995,166.169998,166.169998,246387400
2020-01-16,164.350006,166.240005,164.029999,166.169998,166.169998,23865360
